epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,145.452,1.53815,2.9403,1.18593,0.5904,0.15595,0.14505,0.08711,1.37701,2.07439,1.11707,0.000132996,0.000132996,0.000132996
2,284.295,1.45339,1.95587,1.1649,0.51541,0.21141,0.1917,0.11687,1.34633,1.80949,1.10963,0.000261056,0.000261056,0.000261056
3,422.393,1.41555,1.77465,1.14334,0.63078,0.21383,0.2147,0.12641,1.34955,1.7579,1.10982,0.000383836,0.000383836,0.000383836
4,558.769,1.38266,1.64227,1.13229,0.6163,0.25322,0.25346,0.1536,1.32822,1.58046,1.10034,0.00037624,0.00037624,0.00037624
5,694.961,1.36624,1.54685,1.12491,0.5909,0.24503,0.24745,0.15149,1.32704,1.52478,1.11102,0.00036832,0.00036832,0.00036832
6,830.421,1.33969,1.462,1.11117,0.67925,0.25055,0.28245,0.16994,1.32101,1.44438,1.08913,0.0003604,0.0003604,0.0003604
7,966.566,1.32305,1.40977,1.10339,0.57846,0.27664,0.27549,0.17257,1.28554,1.44499,1.081,0.00035248,0.00035248,0.00035248
8,1105.57,1.30105,1.35207,1.09194,0.67495,0.25956,0.30855,0.19249,1.2925,1.35644,1.08321,0.00034456,0.00034456,0.00034456
9,1243.1,1.29258,1.30806,1.08968,0.56016,0.29138,0.30778,0.1885,1.30126,1.32311,1.08383,0.00033664,0.00033664,0.00033664
10,1381.32,1.27674,1.26808,1.0804,0.56138,0.31237,0.32265,0.19932,1.28595,1.30733,1.08511,0.00032872,0.00032872,0.00032872
11,1521.63,1.26047,1.23166,1.07374,0.59251,0.32223,0.34088,0.21261,1.28835,1.27402,1.09363,0.0003208,0.0003208,0.0003208
12,1658.13,1.25752,1.20127,1.0685,0.59712,0.33027,0.3398,0.2117,1.27274,1.27244,1.07914,0.00031288,0.00031288,0.00031288
13,1791.84,1.23704,1.17415,1.06334,0.63441,0.32382,0.34262,0.21117,1.26294,1.22421,1.07605,0.00030496,0.00030496,0.00030496
14,1924.7,1.22075,1.1421,1.05673,0.6276,0.32795,0.35575,0.22081,1.26713,1.20847,1.07398,0.00029704,0.00029704,0.00029704
15,2057.67,1.21175,1.11629,1.05668,0.6944,0.32295,0.36509,0.2219,1.27797,1.19886,1.07728,0.00028912,0.00028912,0.00028912
16,2191.38,1.20681,1.09807,1.04961,0.53817,0.36516,0.36144,0.22334,1.27861,1.20462,1.08105,0.0002812,0.0002812,0.0002812
17,2324.87,1.20838,1.08236,1.04737,0.56448,0.35402,0.3678,0.2295,1.28535,1.17991,1.07711,0.00027328,0.00027328,0.00027328
18,2456.58,1.18168,1.05537,1.03965,0.65002,0.34021,0.37245,0.2287,1.27585,1.16627,1.07656,0.00026536,0.00026536,0.00026536
19,2589.6,1.17929,1.04636,1.03867,0.62062,0.34711,0.36981,0.22852,1.25831,1.17799,1.0728,0.00025744,0.00025744,0.00025744
20,2718.66,1.17581,1.02912,1.03636,0.61021,0.34936,0.37513,0.23106,1.26761,1.15163,1.06879,0.00024952,0.00024952,0.00024952
21,2847.33,1.16615,1.01229,1.03342,0.55085,0.35893,0.37348,0.2296,1.25549,1.1512,1.06765,0.0002416,0.0002416,0.0002416
22,2981.09,1.15783,0.99538,1.02776,0.63167,0.33723,0.37593,0.22973,1.26477,1.1476,1.06821,0.00023368,0.00023368,0.00023368
23,3116.44,1.14978,0.97934,1.02374,0.67738,0.3592,0.38222,0.23297,1.27113,1.17057,1.07253,0.00022576,0.00022576,0.00022576
24,3256.24,1.15335,0.97801,1.02431,0.69732,0.35981,0.38376,0.23609,1.27085,1.13218,1.07148,0.00021784,0.00021784,0.00021784
25,3394.2,1.13129,0.94615,1.01767,0.52927,0.37402,0.37645,0.23157,1.26827,1.13994,1.07731,0.00020992,0.00020992,0.00020992
26,3530.89,1.13304,0.93622,1.01356,0.60609,0.36589,0.38524,0.2386,1.25954,1.13149,1.07084,0.000202,0.000202,0.000202
27,3667.28,1.12525,0.9314,1.01301,0.68282,0.36815,0.38893,0.2423,1.25551,1.11759,1.07023,0.00019408,0.00019408,0.00019408
28,3800.7,1.1262,0.92213,1.01036,0.61784,0.36813,0.37895,0.23737,1.24996,1.12278,1.06628,0.00018616,0.00018616,0.00018616
29,3933.2,1.11268,0.90421,1.00644,0.59765,0.35107,0.3844,0.23945,1.25392,1.12002,1.06616,0.00017824,0.00017824,0.00017824
30,4070.06,1.104,0.89161,1.00193,0.62811,0.33917,0.3817,0.2358,1.23675,1.10234,1.06394,0.00017032,0.00017032,0.00017032
31,4205.1,1.0964,0.8799,1.00126,0.60371,0.35941,0.37515,0.23272,1.25548,1.11295,1.07135,0.0001624,0.0001624,0.0001624
32,4339.84,1.09612,0.8832,1.00115,0.61427,0.35675,0.38178,0.23869,1.24119,1.11504,1.0633,0.00015448,0.00015448,0.00015448
33,4473.64,1.08578,0.86128,0.99523,0.6333,0.36157,0.39303,0.24043,1.26098,1.10291,1.07018,0.00014656,0.00014656,0.00014656
34,4611.23,1.08542,0.86136,0.99681,0.67078,0.36989,0.39687,0.25025,1.26128,1.10612,1.07209,0.00013864,0.00013864,0.00013864
35,4747.54,1.07306,0.84334,0.99282,0.61867,0.37843,0.38584,0.23976,1.25639,1.1222,1.06961,0.00013072,0.00013072,0.00013072
36,4883.82,1.06902,0.84177,0.98455,0.60553,0.38274,0.39557,0.2464,1.24867,1.11325,1.06995,0.0001228,0.0001228,0.0001228
37,5022.85,1.0754,0.83572,0.99039,0.64663,0.36176,0.3908,0.24354,1.26152,1.10944,1.07264,0.00011488,0.00011488,0.00011488
38,5160.89,1.06739,0.8261,0.98693,0.6351,0.37856,0.39452,0.24429,1.24137,1.10958,1.0677,0.00010696,0.00010696,0.00010696
39,5297.86,1.05714,0.81653,0.98522,0.60294,0.38018,0.3791,0.23534,1.25399,1.11274,1.0714,9.904e-05,9.904e-05,9.904e-05
40,5426.69,1.05363,0.80742,0.98209,0.6352,0.36554,0.38608,0.23651,1.25475,1.10367,1.07386,9.112e-05,9.112e-05,9.112e-05
41,5556.36,1.03833,0.75338,0.96716,0.62105,0.36417,0.37836,0.23254,1.25665,1.12384,1.07474,8.32e-05,8.32e-05,8.32e-05
42,5682.58,1.02084,0.72437,0.95873,0.57887,0.373,0.38279,0.23721,1.25365,1.11481,1.07224,7.528e-05,7.528e-05,7.528e-05
43,5810.75,1.01333,0.73225,0.96115,0.6532,0.36533,0.3806,0.2346,1.25792,1.13425,1.07237,6.736e-05,6.736e-05,6.736e-05
44,5938.8,1.00109,0.70774,0.9535,0.62591,0.35363,0.37968,0.23639,1.25457,1.11858,1.06921,5.944e-05,5.944e-05,5.944e-05
45,6064.81,0.9967,0.70146,0.95125,0.64304,0.34438,0.37999,0.23606,1.25684,1.11839,1.07186,5.152e-05,5.152e-05,5.152e-05
46,6196.95,0.99049,0.69287,0.94856,0.64776,0.3573,0.38079,0.23582,1.26208,1.12748,1.07338,4.36e-05,4.36e-05,4.36e-05
47,6323.53,0.98294,0.68183,0.9454,0.61975,0.35798,0.37738,0.23612,1.25427,1.12268,1.07244,3.568e-05,3.568e-05,3.568e-05
48,6451.22,0.9835,0.68253,0.94602,0.64977,0.34524,0.37968,0.23715,1.25707,1.12043,1.07223,2.776e-05,2.776e-05,2.776e-05
49,6578.25,0.97302,0.67192,0.94321,0.62307,0.36466,0.37855,0.23453,1.25376,1.13549,1.06955,1.984e-05,1.984e-05,1.984e-05
50,6707.82,0.97138,0.66995,0.94197,0.64039,0.36314,0.38058,0.23613,1.25346,1.12555,1.07095,1.192e-05,1.192e-05,1.192e-05
